# board=pi5
# config=solo
# repeats=1000
# expected_active_cores=1
# runner=crisp_run_paper_matrix.sh
[info] offlined cpu1..cpu3 to isolate the active cores
[info] cpu0..cpu0 locked to 2400000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=1, lock_freq_khz=2400000
# cpu0=gsm_dec (measured)  (solo: all other cpus offlined)
[sample=0] cpu=0 bench=gsm_dec cycles=1860989 instructions=2783612 cache-misses=151
[sample=1] cpu=0 bench=gsm_dec cycles=1841553 instructions=2783618 cache-misses=78
[sample=2] cpu=0 bench=gsm_dec cycles=1833977 instructions=2783668 cache-misses=20
[sample=3] cpu=0 bench=gsm_dec cycles=1832751 instructions=2783752 cache-misses=17
[sample=4] cpu=0 bench=gsm_dec cycles=1845298 instructions=2783816 cache-misses=14
[sample=5] cpu=0 bench=gsm_dec cycles=1838625 instructions=2783880 cache-misses=12
[sample=6] cpu=0 bench=gsm_dec cycles=1842083 instructions=2783930 cache-misses=17
[sample=7] cpu=0 bench=gsm_dec cycles=1830862 instructions=2783964 cache-misses=14
[sample=8] cpu=0 bench=gsm_dec cycles=1834205 instructions=2784006 cache-misses=17
[sample=9] cpu=0 bench=gsm_dec cycles=1834468 instructions=2784021 cache-misses=17
[sample=10] cpu=0 bench=gsm_dec cycles=1840510 instructions=2784029 cache-misses=13
[sample=11] cpu=0 bench=gsm_dec cycles=1830517 instructions=2784034 cache-misses=12
[sample=12] cpu=0 bench=gsm_dec cycles=1794719 instructions=2784038 cache-misses=13
[sample=13] cpu=0 bench=gsm_dec cycles=1839312 instructions=2784038 cache-misses=13
[sample=14] cpu=0 bench=gsm_dec cycles=1848007 instructions=2784038 cache-misses=16
[sample=15] cpu=0 bench=gsm_dec cycles=1828451 instructions=2784038 cache-misses=15
[sample=16] cpu=0 bench=gsm_dec cycles=1833498 instructions=2784038 cache-misses=10
[sample=17] cpu=0 bench=gsm_dec cycles=1840603 instructions=2784038 cache-misses=14
[sample=18] cpu=0 bench=gsm_dec cycles=1838544 instructions=2784038 cache-misses=11
[sample=19] cpu=0 bench=gsm_dec cycles=1747835 instructions=2784038 cache-misses=15
[sample=20] cpu=0 bench=gsm_dec cycles=1839883 instructions=2784038 cache-misses=13
[sample=21] cpu=0 bench=gsm_dec cycles=1834799 instructions=2784038 cache-misses=12
[sample=22] cpu=0 bench=gsm_dec cycles=1829424 instructions=2784038 cache-misses=21
[sample=23] cpu=0 bench=gsm_dec cycles=1833019 instructions=2784038 cache-misses=19
[sample=24] cpu=0 bench=gsm_dec cycles=1841555 instructions=2784038 cache-misses=22
[sample=25] cpu=0 bench=gsm_dec cycles=1841890 instructions=2784038 cache-misses=33
[sample=26] cpu=0 bench=gsm_dec cycles=1843827 instructions=2784038 cache-misses=17
[sample=27] cpu=0 bench=gsm_dec cycles=1840961 instructions=2784038 cache-misses=13
[sample=28] cpu=0 bench=gsm_dec cycles=1749262 instructions=2784038 cache-misses=19
[sample=29] cpu=0 bench=gsm_dec cycles=1772932 instructions=2784038 cache-misses=14
[sample=30] cpu=0 bench=gsm_dec cycles=1827052 instructions=2784038 cache-misses=10
[sample=31] cpu=0 bench=gsm_dec cycles=1766483 instructions=2784038 cache-misses=17
[sample=32] cpu=0 bench=gsm_dec cycles=1759151 instructions=2784038 cache-misses=11
[sample=33] cpu=0 bench=gsm_dec cycles=1813731 instructions=2784038 cache-misses=17
[sample=34] cpu=0 bench=gsm_dec cycles=1826317 instructions=2784038 cache-misses=13
[sample=35] cpu=0 bench=gsm_dec cycles=1837423 instructions=2784038 cache-misses=10
