[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=0] cpu=0 bench=fir2dim cycles=67765 instructions=10128 cache-misses=22
[sample=1] cpu=0 bench=fir2dim cycles=15401 instructions=10126 cache-misses=12
[sample=2] cpu=0 bench=fir2dim cycles=15570 instructions=10122 cache-misses=8
[sample=3] cpu=0 bench=fir2dim cycles=15578 instructions=10122 cache-misses=7
[sample=4] cpu=0 bench=fir2dim cycles=16791 instructions=10121 cache-misses=11
[sample=5] cpu=0 bench=fir2dim cycles=19703 instructions=10119 cache-misses=10
[sample=6] cpu=0 bench=fir2dim cycles=16948 instructions=10123 cache-misses=10
[sample=7] cpu=0 bench=fir2dim cycles=15783 instructions=10119 cache-misses=7
[sample=8] cpu=0 bench=fir2dim cycles=19953 instructions=10114 cache-misses=9
[sample=9] cpu=0 bench=fir2dim cycles=15809 instructions=10121 cache-misses=10
[sample=10] cpu=0 bench=fir2dim cycles=16512 instructions=10120 cache-misses=9
[sample=11] cpu=0 bench=fir2dim cycles=18823 instructions=10119 cache-misses=7
[sample=12] cpu=0 bench=fir2dim cycles=16440 instructions=10124 cache-misses=8
[sample=13] cpu=0 bench=fir2dim cycles=15895 instructions=10117 cache-misses=8
[sample=14] cpu=0 bench=fir2dim cycles=13838 instructions=10115 cache-misses=8
[sample=15] cpu=0 bench=fir2dim cycles=15922 instructions=10120 cache-misses=5
[sample=16] cpu=0 bench=fir2dim cycles=14898 instructions=10123 cache-misses=7
