[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=matrix1 (measured)  cpu1=MTH_CACHE  cpu2=MTH_CACHE  cpu3=MTH_CACHE
[sample=0] cpu=0 bench=matrix1 cycles=24848 instructions=19925 cache-misses=27
[sample=1] cpu=0 bench=matrix1 cycles=24353 instructions=19920 cache-misses=16
[sample=2] cpu=0 bench=matrix1 cycles=22381 instructions=19926 cache-misses=20
[sample=3] cpu=0 bench=matrix1 cycles=20820 instructions=19920 cache-misses=10
[sample=4] cpu=0 bench=matrix1 cycles=20618 instructions=19922 cache-misses=6
[sample=5] cpu=0 bench=matrix1 cycles=20603 instructions=19923 cache-misses=2
[sample=6] cpu=0 bench=matrix1 cycles=20605 instructions=19922 cache-misses=5
[sample=7] cpu=0 bench=matrix1 cycles=20587 instructions=19923 cache-misses=3
[sample=8] cpu=0 bench=matrix1 cycles=20588 instructions=19921 cache-misses=5
[sample=9] cpu=0 bench=matrix1 cycles=20569 instructions=19921 cache-misses=6
[sample=10] cpu=0 bench=matrix1 cycles=20577 instructions=19920 cache-misses=2
[sample=11] cpu=0 bench=matrix1 cycles=20584 instructions=19919 cache-misses=5
[sample=12] cpu=0 bench=matrix1 cycles=20622 instructions=19920 cache-misses=5
[sample=13] cpu=0 bench=matrix1 cycles=20571 instructions=19921 cache-misses=5
[sample=14] cpu=0 bench=matrix1 cycles=20542 instructions=19919 cache-misses=4
[sample=15] cpu=0 bench=matrix1 cycles=20577 instructions=19921 cache-misses=8
[sample=16] cpu=0 bench=matrix1 cycles=20584 instructions=19921 cache-misses=4
[sample=17] cpu=0 bench=matrix1 cycles=20603 instructions=19922 cache-misses=6
[sample=18] cpu=0 bench=matrix1 cycles=20597 instructions=19922 cache-misses=5
[sample=19] cpu=0 bench=matrix1 cycles=20579 instructions=19920 cache-misses=5
[sample=20] cpu=0 bench=matrix1 cycles=20594 instructions=19923 cache-misses=5
[sample=21] cpu=0 bench=matrix1 cycles=20567 instructions=19921 cache-misses=5
[sample=22] cpu=0 bench=matrix1 cycles=20594 instructions=19920 cache-misses=6
[sample=23] cpu=0 bench=matrix1 cycles=20611 instructions=19921 cache-misses=4
[sample=24] cpu=0 bench=matrix1 cycles=20576 instructions=19921 cache-misses=4
[sample=25] cpu=0 bench=matrix1 cycles=20579 instructions=19920 cache-misses=6
[sample=26] cpu=0 bench=matrix1 cycles=20580 instructions=19920 cache-misses=5
[sample=27] cpu=0 bench=matrix1 cycles=20617 instructions=19921 cache-misses=5
[sample=28] cpu=0 bench=matrix1 cycles=20609 instructions=19920 cache-misses=5
[sample=29] cpu=0 bench=matrix1 cycles=21691 instructions=19920 cache-misses=10

# Statistics over 30 samples on cpu0 bench=matrix1 (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                       20542                24848             20960.87             20594.00
  instructions                 19919                19926             19921.17             19921.00
  cache-misses                     2                   27                 6.80                 5.00
