[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=30, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MEM  cpu2=PR_ROWBUF  cpu3=MTH_MEM
[sample=0] cpu=0 bench=complex_updates cycles=35035 instructions=2557 cache-misses=24
[sample=1] cpu=0 bench=complex_updates cycles=28667 instructions=2554 cache-misses=16
[sample=2] cpu=0 bench=complex_updates cycles=4533 instructions=2553 cache-misses=4
[sample=3] cpu=0 bench=complex_updates cycles=4086 instructions=2553 cache-misses=3
[sample=4] cpu=0 bench=complex_updates cycles=4426 instructions=2553 cache-misses=2
[sample=5] cpu=0 bench=complex_updates cycles=3786 instructions=2553 cache-misses=5
[sample=6] cpu=0 bench=complex_updates cycles=4102 instructions=2553 cache-misses=2
[sample=7] cpu=0 bench=complex_updates cycles=3845 instructions=2553 cache-misses=3
[sample=8] cpu=0 bench=complex_updates cycles=4305 instructions=2553 cache-misses=2
[sample=9] cpu=0 bench=complex_updates cycles=3894 instructions=2553 cache-misses=5
[sample=10] cpu=0 bench=complex_updates cycles=4441 instructions=2553 cache-misses=3
[sample=11] cpu=0 bench=complex_updates cycles=7499 instructions=2553 cache-misses=4
[sample=12] cpu=0 bench=complex_updates cycles=4119 instructions=2553 cache-misses=3
[sample=13] cpu=0 bench=complex_updates cycles=3920 instructions=2553 cache-misses=2
[sample=14] cpu=0 bench=complex_updates cycles=3882 instructions=2553 cache-misses=5
[sample=15] cpu=0 bench=complex_updates cycles=3881 instructions=2553 cache-misses=4
[sample=16] cpu=0 bench=complex_updates cycles=3893 instructions=2553 cache-misses=3
[sample=17] cpu=0 bench=complex_updates cycles=3959 instructions=2553 cache-misses=4
[sample=18] cpu=0 bench=complex_updates cycles=3975 instructions=2553 cache-misses=1
[sample=19] cpu=0 bench=complex_updates cycles=3976 instructions=2553 cache-misses=3
[sample=20] cpu=0 bench=complex_updates cycles=4115 instructions=2553 cache-misses=2
[sample=21] cpu=0 bench=complex_updates cycles=4230 instructions=2553 cache-misses=2
[sample=22] cpu=0 bench=complex_updates cycles=4484 instructions=2553 cache-misses=3
[sample=23] cpu=0 bench=complex_updates cycles=3973 instructions=2553 cache-misses=3
[sample=24] cpu=0 bench=complex_updates cycles=3842 instructions=2553 cache-misses=2
[sample=25] cpu=0 bench=complex_updates cycles=4159 instructions=2553 cache-misses=1
[sample=26] cpu=0 bench=complex_updates cycles=8691 instructions=2553 cache-misses=4
[sample=27] cpu=0 bench=complex_updates cycles=4499 instructions=2553 cache-misses=3
[sample=28] cpu=0 bench=complex_updates cycles=4055 instructions=2553 cache-misses=0
[sample=29] cpu=0 bench=complex_updates cycles=3886 instructions=2553 cache-misses=3

# Statistics over 30 samples on cpu0 bench=complex_updates (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        3786                35035              6205.27              4094.00
  instructions                  2553                 2557              2553.17              2553.00
  cache-misses                     0                   24                 4.03                 3.00
