[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=adpcm_dec cycles=350172 instructions=228477 cache-misses=60
[sample=1] cpu=0 bench=adpcm_dec cycles=356100 instructions=228474 cache-misses=47
[sample=2] cpu=0 bench=adpcm_dec cycles=333758 instructions=228473 cache-misses=48
[sample=3] cpu=0 bench=adpcm_dec cycles=318892 instructions=228472 cache-misses=54
[sample=4] cpu=0 bench=adpcm_dec cycles=318421 instructions=228474 cache-misses=50
[sample=5] cpu=0 bench=adpcm_dec cycles=316999 instructions=228471 cache-misses=48
[sample=6] cpu=0 bench=adpcm_dec cycles=317364 instructions=228470 cache-misses=48
[sample=7] cpu=0 bench=adpcm_dec cycles=320540 instructions=228472 cache-misses=53
[sample=8] cpu=0 bench=adpcm_dec cycles=320638 instructions=228470 cache-misses=51
[sample=9] cpu=0 bench=adpcm_dec cycles=316622 instructions=228472 cache-misses=49
[sample=10] cpu=0 bench=adpcm_dec cycles=324803 instructions=228472 cache-misses=53
[sample=11] cpu=0 bench=adpcm_dec cycles=317452 instructions=228471 cache-misses=47
[sample=12] cpu=0 bench=adpcm_dec cycles=317014 instructions=228471 cache-misses=49
[sample=13] cpu=0 bench=adpcm_dec cycles=336343 instructions=228475 cache-misses=94
[sample=14] cpu=0 bench=adpcm_dec cycles=329872 instructions=228474 cache-misses=49
[sample=15] cpu=0 bench=adpcm_dec cycles=316716 instructions=228473 cache-misses=46
[sample=16] cpu=0 bench=adpcm_dec cycles=316477 instructions=228474 cache-misses=49
[sample=17] cpu=0 bench=adpcm_dec cycles=315810 instructions=228471 cache-misses=45
[sample=18] cpu=0 bench=adpcm_dec cycles=316218 instructions=228471 cache-misses=42
[sample=19] cpu=0 bench=adpcm_dec cycles=316000 instructions=228471 cache-misses=48
[sample=20] cpu=0 bench=adpcm_dec cycles=317833 instructions=228473 cache-misses=63
[sample=21] cpu=0 bench=adpcm_dec cycles=317034 instructions=228473 cache-misses=54
[sample=22] cpu=0 bench=adpcm_dec cycles=316777 instructions=228473 cache-misses=51
[sample=23] cpu=0 bench=adpcm_dec cycles=315561 instructions=228472 cache-misses=46
[sample=24] cpu=0 bench=adpcm_dec cycles=316611 instructions=228473 cache-misses=48
