[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS
[sample=0] cpu=0 bench=adpcm_dec cycles=355345 instructions=228483 cache-misses=63
[sample=1] cpu=0 bench=adpcm_dec cycles=354740 instructions=228474 cache-misses=48
[sample=2] cpu=0 bench=adpcm_dec cycles=329116 instructions=228473 cache-misses=40
[sample=3] cpu=0 bench=adpcm_dec cycles=320336 instructions=228471 cache-misses=45
[sample=4] cpu=0 bench=adpcm_dec cycles=317182 instructions=228473 cache-misses=45
[sample=5] cpu=0 bench=adpcm_dec cycles=315993 instructions=228472 cache-misses=42
[sample=6] cpu=0 bench=adpcm_dec cycles=315976 instructions=228471 cache-misses=50
[sample=7] cpu=0 bench=adpcm_dec cycles=314937 instructions=228471 cache-misses=41
[sample=8] cpu=0 bench=adpcm_dec cycles=315065 instructions=228473 cache-misses=47
[sample=9] cpu=0 bench=adpcm_dec cycles=315262 instructions=228475 cache-misses=56
[sample=10] cpu=0 bench=adpcm_dec cycles=315504 instructions=228472 cache-misses=41
[sample=11] cpu=0 bench=adpcm_dec cycles=316391 instructions=228472 cache-misses=46
[sample=12] cpu=0 bench=adpcm_dec cycles=315713 instructions=228474 cache-misses=44
[sample=13] cpu=0 bench=adpcm_dec cycles=315119 instructions=228472 cache-misses=41
[sample=14] cpu=0 bench=adpcm_dec cycles=320829 instructions=228475 cache-misses=78
[sample=15] cpu=0 bench=adpcm_dec cycles=318865 instructions=228473 cache-misses=48
[sample=16] cpu=0 bench=adpcm_dec cycles=315780 instructions=228473 cache-misses=42
[sample=17] cpu=0 bench=adpcm_dec cycles=315183 instructions=228473 cache-misses=41
[sample=18] cpu=0 bench=adpcm_dec cycles=315012 instructions=228472 cache-misses=48
[sample=19] cpu=0 bench=adpcm_dec cycles=315014 instructions=228473 cache-misses=52
[sample=20] cpu=0 bench=adpcm_dec cycles=315457 instructions=228475 cache-misses=51
[sample=21] cpu=0 bench=adpcm_dec cycles=316153 instructions=228473 cache-misses=45
[sample=22] cpu=0 bench=adpcm_dec cycles=315214 instructions=228473 cache-misses=45
[sample=23] cpu=0 bench=adpcm_dec cycles=315433 instructions=228473 cache-misses=41
[sample=24] cpu=0 bench=adpcm_dec cycles=314905 instructions=228472 cache-misses=40
[sample=25] cpu=0 bench=adpcm_dec cycles=315202 instructions=228472 cache-misses=55
[sample=26] cpu=0 bench=adpcm_dec cycles=315757 instructions=228471 cache-misses=39
[sample=27] cpu=0 bench=adpcm_dec cycles=314911 instructions=228471 cache-misses=40
[sample=28] cpu=0 bench=adpcm_dec cycles=315391 instructions=228470 cache-misses=41
[sample=29] cpu=0 bench=adpcm_dec cycles=315197 instructions=228471 cache-misses=51
[sample=30] cpu=0 bench=adpcm_dec cycles=315111 instructions=228471 cache-misses=45
[sample=31] cpu=0 bench=adpcm_dec cycles=315636 instructions=228473 cache-misses=45
[sample=32] cpu=0 bench=adpcm_dec cycles=315410 instructions=228472 cache-misses=39
[sample=33] cpu=0 bench=adpcm_dec cycles=315735 instructions=228472 cache-misses=54
[sample=34] cpu=0 bench=adpcm_dec cycles=315845 instructions=228472 cache-misses=43
[sample=35] cpu=0 bench=adpcm_dec cycles=315268 instructions=228472 cache-misses=32
[sample=36] cpu=0 bench=adpcm_dec cycles=315344 instructions=228471 cache-misses=44
[sample=37] cpu=0 bench=adpcm_dec cycles=315943 instructions=228472 cache-misses=41
[sample=38] cpu=0 bench=adpcm_dec cycles=316101 instructions=228471 cache-misses=45
[sample=39] cpu=0 bench=adpcm_dec cycles=315210 instructions=228472 cache-misses=46
[sample=40] cpu=0 bench=adpcm_dec cycles=315425 instructions=228472 cache-misses=44
[sample=41] cpu=0 bench=adpcm_dec cycles=315453 instructions=228472 cache-misses=40
[sample=42] cpu=0 bench=adpcm_dec cycles=315586 instructions=228472 cache-misses=40
[sample=43] cpu=0 bench=adpcm_dec cycles=315320 instructions=228471 cache-misses=41
[sample=44] cpu=0 bench=adpcm_dec cycles=315520 instructions=228471 cache-misses=42
[sample=45] cpu=0 bench=adpcm_dec cycles=315069 instructions=228471 cache-misses=44
[sample=46] cpu=0 bench=adpcm_dec cycles=316491 instructions=228474 cache-misses=53
[sample=47] cpu=0 bench=adpcm_dec cycles=318372 instructions=228472 cache-misses=44
[sample=48] cpu=0 bench=adpcm_dec cycles=315382 instructions=228473 cache-misses=42
[sample=49] cpu=0 bench=adpcm_dec cycles=315101 instructions=228473 cache-misses=40
[sample=50] cpu=0 bench=adpcm_dec cycles=315472 instructions=228471 cache-misses=38
[sample=51] cpu=0 bench=adpcm_dec cycles=315262 instructions=228471 cache-misses=41
[sample=52] cpu=0 bench=adpcm_dec cycles=315371 instructions=228474 cache-misses=43
[sample=53] cpu=0 bench=adpcm_dec cycles=315019 instructions=228470 cache-misses=43
[sample=54] cpu=0 bench=adpcm_dec cycles=314892 instructions=228470 cache-misses=41
[sample=55] cpu=0 bench=adpcm_dec cycles=314891 instructions=228472 cache-misses=44
[sample=56] cpu=0 bench=adpcm_dec cycles=315432 instructions=228473 cache-misses=51
[sample=57] cpu=0 bench=adpcm_dec cycles=315099 instructions=228471 cache-misses=46
[sample=58] cpu=0 bench=adpcm_dec cycles=317549 instructions=228474 cache-misses=60
