bench,n_loops,max_iter,ld_count,st_count,mem_ops_static,n_mem_upper,n_l2_upper,alpha_l2_static
BUS,0,1,275,182,457,457,457,1.0
CACHE,0,1,87,46,133,133,133,1.0
MEM,0,1,77,58,135,135,135,1.0
MTH_BUS,0,1,46,23,69,69,69,1.0
MTH_CACHE,0,1,26,17,43,43,43,1.0
MTH_MEM,0,1,31,19,50,50,50,1.0
MTH_PIPELINE,0,1,98,18,116,116,116,1.0
MTH_POINTER,0,1,19,12,31,31,31,1.0
MTH_SYSCALLS,0,1,24,18,42,42,42,1.0
PIPELINE,0,1,130,40,170,170,170,1.0
POINTER,0,1,24,16,40,40,40,1.0
PR_CACHE,0,1,26,18,44,44,44,1.0
PR_DISKIO,0,1,39,25,64,64,64,1.0
PR_FILESYS,0,1,55,34,89,89,89,1.0
PR_MEMBUS,0,1,77,45,122,122,122,1.0
PR_NET,0,1,31,22,53,53,53,1.0
PR_POINTER,0,1,19,12,31,31,31,1.0
PR_ROWBUF,0,1,67,37,104,104,104,1.0
PR_SPAWN,0,1,25,16,41,41,41,1.0
PR_TLB,0,1,24,11,35,35,35,1.0
adpcm_dec,0,1,508,227,735,735,735,1.0
adpcm_enc,0,1,474,221,695,695,695,1.0
ammunition,0,1,349,254,603,603,603,1.0
anagram,0,1,289,148,437,437,437,1.0
audiobeam,0,1,444,218,662,662,662,1.0
binarysearch,0,1,37,19,56,56,56,1.0
bitcount,0,1,79,33,112,112,112,1.0
bitonic,0,1,66,28,94,94,94,1.0
bsort,0,1,40,22,62,62,62,1.0
cjpeg_transupp,0,1,429,283,712,712,712,1.0
cjpeg_wrbmp,0,1,91,37,128,128,128,1.0
complex_updates,0,1,68,42,110,110,110,1.0
cosf,0,1,12,7,19,19,19,1.0
countnegative,0,1,43,25,68,68,68,1.0
cover,0,1,230,208,438,438,438,1.0
cubic,0,1,176,58,234,234,234,1.0
deg2rad,0,1,17,7,24,24,24,1.0
dijkstra,0,1,127,59,186,186,186,1.0
duff,0,1,51,43,94,94,94,1.0
epic,0,1,358,134,492,492,492,1.0
fac,0,1,19,10,29,29,29,1.0
fft,0,1,103,67,170,170,170,1.0
filterbank,0,1,101,50,151,151,151,1.0
fir2dim,0,1,72,64,136,136,136,1.0
fmref,0,1,236,97,333,333,333,1.0
g723_enc,0,1,329,211,540,540,540,1.0
gsm_dec,0,1,576,427,1003,1003,1003,1.0
gsm_enc,0,1,1297,856,2153,2153,2153,1.0
h264_dec,0,1,793,190,983,983,983,1.0
huff_dec,0,1,148,87,235,235,235,1.0
huff_enc,0,1,377,204,581,581,581,1.0
iir,0,1,53,30,83,83,83,1.0
insertsort,0,1,88,36,124,124,124,1.0
isqrt,0,1,47,23,70,70,70,1.0
jfdctint,0,1,207,91,298,298,298,1.0
lift,0,1,44,32,76,76,76,1.0
lms,0,1,121,60,181,181,181,1.0
ludcmp,0,1,184,63,247,247,247,1.0
matrix1,0,1,37,24,61,61,61,1.0
md5,0,1,839,312,1151,1151,1151,1.0
minver,0,1,204,97,301,301,301,1.0
mpeg2,0,1,2109,942,3051,3051,3051,1.0
ndes,0,1,275,150,425,425,425,1.0
petrinet,0,1,989,224,1213,1213,1213,1.0
pm,0,1,465,261,726,726,726,1.0
powerwindow,0,1,204,74,278,278,278,1.0
prime,0,1,41,21,62,62,62,1.0
quicksort,0,1,194,59,253,253,253,1.0
rad2deg,0,1,17,7,24,24,24,1.0
recursion,0,1,15,8,23,23,23,1.0
rijndael_dec,0,1,94,45,139,139,139,1.0
rijndael_enc,0,1,112,60,172,172,172,1.0
sha,0,1,258,120,378,378,378,1.0
st,0,1,126,62,188,188,188,1.0
statemate,0,1,975,425,1400,1400,1400,1.0
susan,0,1,4649,1468,6117,6117,6117,1.0
test3,0,1,10836,3675,14511,14511,8192,0.56454
