bench,full_iso,opt1,opt2,rampart_add,rampart_full
adpcm_dec,1.0347,1.0269,1.0264,1.0264,1.0433
adpcm_enc,1.02,1.02,1.02,1.02,1.02
ammunition,1.0202,1.0201,1.0201,1.0201,1.0247
binarysearch,1.0799,1.063,1.0596,1.0596,1.0611
bitcount,1.0813,1.0645,1.061,1.061,1.061
bitonic,1.0562,1.0417,1.0399,1.0399,1.069
bsort,1.02,1.02,1.02,1.02,1.02
cjpeg_transupp,1.0391,1.0264,1.0259,1.0259,1.0369
cjpeg_wrbmp,1.0818,1.0406,1.039,1.039,1.0434
complex_updates,1.0495,1.0381,1.0367,1.0367,1.1173
cosf,1.02,1.02,1.02,1.02,1.02
countnegative,1.0333,1.033,1.032,1.032,1.032
cover,1.0237,1.0212,1.0211,1.0211,1.0211
cubic,1.02,1.02,1.02,1.02,1.02
deg2rad,1.02,1.02,1.02,1.02,1.02
dijkstra,1.0224,1.0208,1.0207,1.0207,1.0822
duff,1.0576,1.0362,1.0349,1.0349,1.0349
epic,1.02,1.02,1.02,1.02,1.02
fac,1.1187,1.0611,1.0578,1.0578,1.0661
fft,1.0257,1.0223,1.0221,1.0221,1.0309
filterbank,1.0497,1.0344,1.0333,1.0333,1.0484
fir2dim,1.172,1.0934,1.0875,1.0875,1.0875
fmref,1.02,1.02,1.02,1.02,1.02
g723_enc,1.0422,1.0302,1.0293,1.0293,1.0352
gsm_dec,1.0316,1.024,1.0237,1.0237,1.0353
gsm_enc,1.02,1.02,1.02,1.02,1.02
h264_dec,1.02,1.02,1.02,1.02,1.02
huff_enc,1.02,1.02,1.02,1.02,1.02
iir,1.3943,1.1451,1.1351,1.1351,1.1351
insertsort,1.263,1.1948,1.1808,1.1808,1.1808
isqrt,1.02,1.02,1.02,1.02,1.02
jfdctint,1.0327,1.0264,1.0259,1.0259,1.0314
lift,1.3567,1.192,1.1782,1.1782,1.1782
lms,1.0408,1.0284,1.0278,1.0278,1.0424
ludcmp,1.0357,1.0309,1.0301,1.0301,1.0301
matrix1,1.1567,1.0675,1.0637,1.0637,1.0637
md5,1.0208,1.0203,1.0202,1.0202,1.0202
minver,1.0427,1.0276,1.027,1.027,1.027
mpeg2,1.0219,1.0206,1.0206,1.0206,1.0286
ndes,1.0552,1.0393,1.0377,1.0377,1.0377
petrinet,1.1389,1.0827,1.0777,1.0777,1.0777
pm,1.029,1.0232,1.023,1.023,1.0268
powerwindow,1.02,1.02,1.02,1.02,1.02
prime,1.1546,1.1292,1.1204,1.1204,1.1204
quicksort,1.0238,1.0213,1.0212,1.0212,1.0478
rad2deg,1.0241,1.0222,1.022,1.022,1.0247
recursion,1.02,1.02,1.02,1.02,1.02
sha,1.0314,1.0238,1.0235,1.0235,1.0698
st,1.0234,1.0224,1.0222,1.0222,1.0315
statemate,1.0217,1.0209,1.0208,1.0208,1.0208
susan,1.0391,1.0327,1.0317,1.0317,1.0372
test3,1.04,1.0339,1.0327,1.0327,1.0327
