bench,channel,alpha_rampart,alpha_polyrhythm,delta_pct,polyrhythm_available
minver,LLC,0.002956,0.012579,325.53,False
minver,BUS,0.002251,0.013274,489.71,False
minver,MEM,0.002189,0.011958,446.28,False
bitonic,LLC,0.0,0.002457,0,False
bitonic,BUS,0.0,0.00162,0,False
bitonic,MEM,0.0,0.001564,0,False
adpcm_enc,LLC,6.8e-05,0.000149,118.39,False
adpcm_enc,BUS,5.7e-05,0.000141,146.67,False
adpcm_enc,MEM,5.7e-05,0.000131,129.57,False
quicksort,LLC,0.000276,0.000467,69.15,False
quicksort,BUS,0.000297,0.00038,27.97,False
quicksort,MEM,0.000329,0.000287,-12.73,False
dijkstra,LLC,9.2e-05,0.000227,146.61,False
dijkstra,BUS,7.8e-05,0.000184,135.97,False
dijkstra,MEM,0.000146,7.6e-05,-48.05,False
cubic,LLC,8e-06,3.6e-05,349.78,False
cubic,BUS,9e-06,1.5e-05,65.09,False
cubic,MEM,1.2e-05,1.2e-05,1.44,False
cover,LLC,0.000535,0.003818,613.71,False
cover,BUS,0.001105,0.003848,248.21,False
cover,MEM,0.0,0.003252,0,False
bsort,LLC,2.6e-05,0.00012,360.56,False
bsort,BUS,1.3e-05,0.000132,918.88,False
bsort,MEM,1.3e-05,0.00012,824.25,False
st,LLC,0.000326,0.00139,326.24,False
st,BUS,0.000454,0.001394,207.0,False
st,MEM,0.000408,0.0014,243.15,False
bitcount,LLC,0.00022,0.002102,855.3,False
bitcount,BUS,7.2e-05,0.002284,3072.15,False
bitcount,MEM,0.000144,0.002543,1666.2,False
