# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fac (measured)  cpu1=MAX_MEM  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=0] cpu=0 bench=fac cycles=7238 instructions=458 cache-misses=13
[sample=1] cpu=0 bench=fac cycles=8263 instructions=453 cache-misses=7
[sample=2] cpu=0 bench=fac cycles=5292 instructions=453 cache-misses=5
[sample=3] cpu=0 bench=fac cycles=1120 instructions=453 cache-misses=4
[sample=4] cpu=0 bench=fac cycles=888 instructions=453 cache-misses=4
[sample=5] cpu=0 bench=fac cycles=900 instructions=453 cache-misses=6
[sample=6] cpu=0 bench=fac cycles=859 instructions=453 cache-misses=3
[sample=7] cpu=0 bench=fac cycles=899 instructions=453 cache-misses=5
[sample=8] cpu=0 bench=fac cycles=888 instructions=453 cache-misses=5
[sample=9] cpu=0 bench=fac cycles=866 instructions=453 cache-misses=5
[sample=10] cpu=0 bench=fac cycles=888 instructions=453 cache-misses=6
[sample=11] cpu=0 bench=fac cycles=886 instructions=453 cache-misses=5
[sample=12] cpu=0 bench=fac cycles=939 instructions=453 cache-misses=6
[sample=13] cpu=0 bench=fac cycles=891 instructions=453 cache-misses=4
[sample=14] cpu=0 bench=fac cycles=942 instructions=453 cache-misses=6
[sample=15] cpu=0 bench=fac cycles=890 instructions=453 cache-misses=6
[sample=16] cpu=0 bench=fac cycles=905 instructions=453 cache-misses=5
[sample=17] cpu=0 bench=fac cycles=875 instructions=453 cache-misses=5
[sample=18] cpu=0 bench=fac cycles=901 instructions=453 cache-misses=6
[sample=19] cpu=0 bench=fac cycles=920 instructions=453 cache-misses=5
[sample=20] cpu=0 bench=fac cycles=884 instructions=453 cache-misses=4
[sample=21] cpu=0 bench=fac cycles=848 instructions=453 cache-misses=5
[sample=22] cpu=0 bench=fac cycles=893 instructions=453 cache-misses=6
[sample=23] cpu=0 bench=fac cycles=879 instructions=453 cache-misses=5
[sample=24] cpu=0 bench=fac cycles=866 instructions=453 cache-misses=6
[sample=25] cpu=0 bench=fac cycles=904 instructions=453 cache-misses=6
[sample=26] cpu=0 bench=fac cycles=897 instructions=453 cache-misses=6
[sample=27] cpu=0 bench=fac cycles=857 instructions=453 cache-misses=5
[sample=28] cpu=0 bench=fac cycles=877 instructions=453 cache-misses=6
[sample=29] cpu=0 bench=fac cycles=894 instructions=453 cache-misses=4
[sample=30] cpu=0 bench=fac cycles=879 instructions=453 cache-misses=5
[sample=31] cpu=0 bench=fac cycles=1834 instructions=453 cache-misses=6
[sample=32] cpu=0 bench=fac cycles=921 instructions=453 cache-misses=5
[sample=33] cpu=0 bench=fac cycles=859 instructions=453 cache-misses=5
[sample=34] cpu=0 bench=fac cycles=1996 instructions=453 cache-misses=6
[sample=35] cpu=0 bench=fac cycles=889 instructions=453 cache-misses=6
